ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
101.81.133.jja,2017-06-11,00:00:00,0.0,1457716.0,0001457716-17-000153,-index.htm,200.0,7552.0,1.0,0.0,0.0,9.0,0.0,
101.81.133.jja,2017-06-11,00:00:00,0.0,1488309.0,0001457716-17-000153,-index.htm,200.0,7552.0,1.0,0.0,0.0,9.0,0.0,
101.81.133.jja,2017-06-11,00:00:00,0.0,1392678.0,0001179110-17-008822,-index.htm,200.0,7619.0,1.0,0.0,0.0,9.0,0.0,
104.247.35.caa,2017-06-11,00:00:00,0.0,802356.0,0001341004-07-000228,.txt,200.0,47750.0,0.0,0.0,0.0,10.0,0.0,
104.247.35.caa,2017-06-11,00:00:00,0.0,802356.0,0001341004-07-000185,.txt,200.0,39071.0,0.0,0.0,0.0,10.0,0.0,
104.247.35.caa,2017-06-11,00:00:00,0.0,802356.0,0001341004-07-000148,.txt,200.0,26343.0,0.0,0.0,0.0,10.0,0.0,
107.22.225.dea,2017-06-11,00:00:00,0.0,1193350.0,0000902664-17-002608,-index.htm,200.0,9958.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1087174.0,0000950117-99-001156,-index.html,200.0,2745.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000914121-07-000931,-index.htm,200.0,2774.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1285518.0,0000950129-04-001715,-index.htm,200.0,2667.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000914121-07-000890,-index.htm,200.0,2775.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1313072.0,0001193125-04-220759,-index.htm,200.0,2815.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000914121-07-000930,-index.htm,200.0,2771.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000950136-07-005533,-index.htm,200.0,2871.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1296354.0,0001193125-04-113640,-index.htm,200.0,2833.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1094125.0,0000950117-99-001859,-index.html,200.0,2747.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1087174.0,0000905148-00-000639,-index.html,200.0,2740.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000914121-07-000929,-index.htm,200.0,2772.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1313072.0,0000905148-05-002111,-index.htm,200.0,2797.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1284711.0,0000950148-04-000689,-index.htm,200.0,2648.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1296354.0,0000905148-05-002128,-index.htm,200.0,2836.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1350935.0,0000950136-07-002399,-index.htm,200.0,2880.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1284711.0,0000905148-05-002013,-index.htm,200.0,2698.0,1.0,0.0,0.0,10.0,0.0,
107.23.85.jfd,2017-06-11,00:00:00,0.0,1285518.0,0000905148-05-002017,-index.htm,200.0,2686.0,1.0,0.0,0.0,10.0,0.0,
108.171.130.fdi,2017-06-11,00:00:00,0.0,1141299.0,0001141299-15-000035,mcgc425hc2.htm,200.0,4509.0,0.0,0.0,0.0,9.0,0.0,
111.8.8.ihd,2017-06-11,00:00:00,0.0,1456983.0,0001432093-10-000117,-index.htm,200.0,2857.0,1.0,0.0,0.0,10.0,0.0,
112.10.139.dif,2017-06-11,00:00:00,0.0,1564408.0,0000950123-16-020967,filename2.htm,200.0,23413.0,0.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-11,00:00:00,0.0,1402829.0,0001402829-17-000009,-index.htm,301.0,289.0,1.0,0.0,1.0,10.0,0.0,
115.111.60.idd,2017-06-11,00:00:00,0.0,1402829.0,0001402829-17-000009,-index.htm,200.0,12065.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-11,00:00:00,0.0,784539.0,0001144204-16-136391,-index.htm,200.0,10368.0,1.0,0.0,0.0,10.0,0.0,
115.111.60.idd,2017-06-11,00:00:00,0.0,784539.0,0001144204-16-136391,-index.htm,301.0,288.0,1.0,0.0,1.0,10.0,0.0,
117.91.4.eca,2017-06-11,00:00:00,0.0,10048.0,0000899681-17-000189,-index.htm,200.0,7641.0,1.0,0.0,0.0,10.0,0.0,
